"","address","lon","lat"
"222","Block A, Section 10, Mirpur, Dhaka",90.3737745,23.7569718
"223","South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",90.427837,23.7731059
"224","Tikatuli, Sutrapur, Dhaka",90.4225336,23.7203137
"225","Road No 20, Block G, Bashundhara R-A, Dhaka",90.4309663,23.822537
"226","Kuril, Dhaka",90.4231228,23.8207146
"227","Ring Road, Mohammadpur, Dhaka",90.3586953,23.7693599
"228","Block A, Mansurabad Housing Society, Adabor, Dhaka",90.3537052,23.7739826
"229","Sector 15, Uttara, Dhaka",90.3724815,23.8610002
"230","Block F, South Banasree Project, Banasree, Dhaka",90.4409834,23.7548337
"231","Kaderabad Housing Society, Katashur, Mohammadpur, Dhaka",90.3599702,23.7536428
"232","Kamarpara, Turag, Dhaka",90.3830754,23.8892301
"233","Dhaka",90.4125181,23.810332
"234","Block C, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",90.3599702,23.7536428
"235","Shantibag, Malibagh, Dhaka",90.4172454,23.7453188
"236","Block D, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",90.3599702,23.7536428
"237","Mannan Sharani, West Shewrapara, Mirpur, Dhaka",90.3723325,23.7914609
"238","Block D, Eastern Housing, Pallabi, Mirpur, Dhaka",90.3521844,23.824982
"239","North Manikdi, Manikdi, Cantonment, Dhaka",90.3919059,23.8260022
"240","Uttar Badda, Badda, Dhaka",90.4231228,23.7820433
"241","Block L, Bashundhara R-A, Dhaka",90.4490575,23.8206417
"242","East Shewrapara, Mirpur, Dhaka",90.376601,23.7933187
"243","Block D2, Section 10, Mirpur, Dhaka",90.3713045,23.8119234
"244","Block H, Aftab Nagar, Dhaka",90.4466991,23.7641281
"245","Mirpur DOHS, Mirpur, Dhaka",90.3695392,23.836468
"246","Ashkona, Dakshin Khan, Dhaka",90.4184093,23.853447
"247","Middle Kuril, Kuril, Dhaka",90.4231228,23.8207146
"248","Dakkhin Paikpara, Paikpara, Mirpur, Dhaka",90.3595372,23.7881532
"249","South Kallyanpur, Kallyanpur, Mirpur, Dhaka",90.3595372,23.7822036
"250","Block D, Aftab Nagar, Dhaka",90.3682272,23.7532277
"251","Block C, Section 13, Mirpur, Dhaka",90.3783666,23.8089317
"252","Gulbag, Malibagh, Dhaka",90.4198393,23.7466704
"253","Avenue 2, Block A, Section 11, Mirpur, Dhaka",90.3670303,23.8180781
"254","Janata Housing, Shah Ali Bag, Section 1, Mirpur, Dhaka",90.357199,23.800939
"255","Sector 2, Block E, Aftab Nagar, Dhaka",90.3676452,23.7550153
"256","Sector 1, Block F, Aftab Nagar, Dhaka",90.4466991,23.7641281
"257","Uttar Para, Khilkhet, Dhaka",90.3794502,23.8758146
"258","Block B, Section 6, Mirpur, Dhaka",90.3689505,23.7572153
"259","East Hazipara, East Rampura, Rampura, Dhaka",90.4188352,23.7577791
"260","Taltola, Agargaon, Dhaka",90.3730699,23.7829154
"261","Jagannathpur, Badda, Dhaka",90.424961,23.8090234
"262","Ullan, West Rampura, Rampura, Dhaka",90.4201413,23.7670887
"263","Tejkunipara, Tejgaon, Dhaka",90.3924947,23.7612995
"264","School Road, Mohakhali, Dhaka",90.4217671,23.7602426
"265","Namapara, Khilkhet, Dhaka",90.4273227,23.8310956
"266","Malibagh, Dhaka",90.4128141,23.7465586
"267","Kazibari, Dakshin Khan, Dhaka",90.4201768,23.8616217
"268","Avenue 2, Mirpur DOHS, Mirpur, Dhaka",90.3661908,23.8391758
"269","Taltola, Khilgaon, Dhaka",90.4257745,23.7519151
"270","Monipuripara, Tejgaon, Dhaka",90.3860187,23.7620595
"271","North Shahjahanpur, Dhaka",90.4237121,23.7455989
"272","Vatara, Badda, Dhaka",90.4293102,23.8002468
"273","Block TA, Section 6, Mirpur, Dhaka",90.3642437,23.8119402
"274","Janata Housing, Sher- E- Banglanagar, West Agargaon, Agargaon, Dhaka",90.3693678,23.7807183
"275","Jashimuddin Avenue, Dolipara, Uttara, Dhaka",90.3977194,23.8610191
"276","Pirerbag, Section 1, Mirpur, Dhaka",90.3489496,23.8015639
"277","Faydabad, East Azampur, Dakshin Khan, Dhaka",90.4136962,23.8772544
"278","Notunbag, Taltola, Khilgaon, Dhaka",90.4234059,23.7560342
"279","Paribagh, Dhaka",90.3930835,23.7441918
"280","Tejgaon, Dhaka",90.3913172,23.759815
"281","Indira Road, Tejgaon, Dhaka",90.3848679,23.7580016
"282","Bakshi Bazar, Lalbagh, Dhaka",90.3954387,23.7218725
"283","Farmgate, Tejgaon, Dhaka",90.3871961,23.7561067
"284","Block D, Niketan, Dhaka",90.433141,23.8154814
"285","West Rampura, Rampura, Dhaka",90.4160527,23.7642132
"286","Middle Badda, Badda, Dhaka",90.4237121,23.7798106
"287","Block B, Aftab Nagar, Dhaka",90.4272477,23.7634391
"288","South Manikdi, Manikdi, Cantonment, Dhaka",90.3919059,23.8260022
"289","Aainusbag, Dakshin Khan, Dhaka",90.4237121,23.8571505
"290","Nowapara, Dakshin Khan, Dhaka",90.4293102,23.8656864
"291","Moushan East Para, Kuril, Dhaka",90.4231228,23.8207146
"292","Kha Para, Khilkhet, Dhaka",90.4202189,23.8357383
"293","Naya Nagar, Vatara, Badda, Dhaka",90.426953,23.800997
"294","Block C1, Sector 15, Uttara, Dhaka",90.3680682,23.8665877
"295","Sher-E-Bangla Avenue, Dolipara, Uttara, Dhaka",90.3877911,23.8613669
"296","North Gawair, Gawair, Dakshin Khan, Dhaka",90.4154636,23.8586601
"297","Dakkhin Paikpara, Mirpur, Dhaka",90.3595372,23.7881532
"298","Gudaraghat, Middle Badda, Badda, Dhaka",90.4212309,23.7796213
"299","Shyamoli Housing (2nd Project), Adabor, Dhaka",90.3590934,23.7734206
"300","Block A, Banasree, Dhaka",90.3737745,23.7569718
"301","aziz Moholla, Mohammadpur, Dhaka",90.3587745,23.7661386
"302","Block B, Banasree, Dhaka",90.4272477,23.7634391
"303","East Namapara, Namapara, Khilkhet, Dhaka",90.4273227,23.8310956
"304","Jamtola, Khilkhet, Dhaka",90.4153303,23.8272393
"305","Block C, Banasree, Dhaka",90.3705183,23.7551752
"306","Block B, Notunbag, Taltola, Khilgaon, Dhaka",90.4234059,23.7560342
"307","Dhorangartek, Turag, Dhaka",90.3781541,23.8821356
"308","Bashabo, Dhaka",90.4307836,23.7426044
"309","Khilbari Tek, Badda, Dhaka",90.4307836,23.7916903
"310","North Goran, Goran, Khilgaon, Dhaka",90.4323094,23.7519115
"311","Mirpur Road, New Market, Dhaka",90.3837664,23.7331937
"312","Middle Bashabo, Bashabo, Dhaka",90.4281316,23.7414961
"313","Kalachandpur, Dhaka",90.4166418,23.8095773
"314","Block M, Banasree, Dhaka",90.4561336,23.820621
"315","South Mollartek, Dakshin Khan, Dhaka",90.4095728,23.8571886
"316","North Pirerbag, Pirerbag, Section 1, Mirpur, Dhaka",90.3649975,23.7903948
"317","Naya Nagar, Khilkhet, Dhaka",90.426953,23.800997
"318","Block L, South Banasree Project, Banasree, Dhaka",90.4409834,23.7548337
"319","Jamtola, Kawlar, Dakshin Khan, Dhaka",90.4200507,23.8457796
"320","Avenue 7, Mirpur DOHS, Mirpur, Dhaka",90.372707,23.8366728
"321","Block D, Banasree, Dhaka",90.4316676,23.7615675
"322","South Bashabo, Bashabo, Dhaka",90.4327342,23.7402692
"323","Sabujbag, South Bashabo, Bashabo, Dhaka",90.4327342,23.7402692
"324","West Kafrul, Taltola, Agargaon, Dhaka",90.376601,23.7858817
"325","South Pirerbag, Pirerbag, Section 1, Mirpur, Dhaka",90.3703453,23.7875225
"326","Wari, Sutrapur, Dhaka",90.4178201,23.7173513
"327","Mukti Polli, Khilbari Tek, Badda, Dhaka",90.427859,23.7909686
"328","Block G, Section 2, Mirpur, Dhaka",90.3527725,23.8011834
"329","Ward 23, Chowdhuripara, Khilgaon, Dhaka",90.4195876,23.7537913
"330","Adabor, Dhaka",90.3548312,23.7732898
"331","East Mollartek, Dakshin Khan, Dhaka",90.4095728,23.8571886
"332","Shahjadpur, Badda, Dhaka",90.4248906,23.7917066
"333","Block B, Eastern Housing, Pallabi, Mirpur, Dhaka",90.3543548,23.8234801
"334","Pragati Soroni, Kuril, Dhaka",90.4186014,23.8316384
"335","Block D, Dakkhin Paikpara, Paikpara, Mirpur, Dhaka",90.3595372,23.7881532
"336","Purana Paltan, Motijheel, Dhaka",90.4107509,23.7322458
"337","Shahbagh, Dhaka",90.394261,23.7397263
"338","Goran, Khilgaon, Dhaka",90.4340251,23.7518923
"339","Shahjahanpur, Dhaka",90.4125181,23.810332
"340","Kachukhet, Dhaka",90.3901397,23.7940289
"341","Tilpapara Road, Tilpapara, Khilgaon, Dhaka",90.4282899,23.7470213
"342","Mofizbag Housing, Shekhertek, Mohammadpur, Dhaka",90.3516779,23.7665119
"343","Block B, Sayednagar, East Vatara, Vatara, Badda, Dhaka",90.4349658,23.7993144
"344","Sutrapur, Dhaka",90.4195876,23.7121399
"345","Shadhinata Sharani, Uttar Badda, Badda, Dhaka",90.4265755,23.7842882
"346","Jahuri Moholla, Mohammadpur, Dhaka",90.3626058,23.770646
"347","Mansurabad Housing Society, Adabor, Dhaka",90.3537052,23.7739826
"348","Block C, Khilgaon, Dhaka",90.4409511,23.7479681
"349","Taltola, Dakshin Khan, Dhaka",90.4231228,23.8534342
"350","Uttar Khan, Dhaka",90.4478783,23.8726978
"351","Borobag, Section 2, Mirpur, Dhaka",90.3615699,23.8006833
"352","North Shahjahanpur, Shahjahanpur, Dhaka",90.4248726,23.7441511
"353","North Azampur, Dakshin Khan, Dhaka",90.4072168,23.8661179
"354","Sector 2, Block D, Aftab Nagar, Dhaka",90.4466991,23.7641281
"355","North Adabor, Adabor, Dhaka",90.3586364,23.7734438
"356","Adarsha Para, Uttar Khan, Dhaka",90.4478783,23.8726978
"357","Block A, Section 12, Mirpur, Dhaka",90.3651262,23.8264394
"358","Block B, Chad Uddan Housing, Mohammadpur, Dhaka",90.3518903,23.7561906
"359","Abdullahbag, Uttar Badda, Badda, Dhaka",90.4231228,23.7820433
"360","Block B, Dolipara, Uttara, Dhaka",90.3683624,23.8632408
"361","South Azampur, Dakshin Khan, Dhaka",90.4095728,23.860163
"362","Block D, Dolipara, Uttara, Dhaka",90.371893,23.8662068
"363","Faidabad Garden City, Faydabad, Dakshin Khan, Dhaka",90.4119945,23.8748273
"364","Block C, Niketan, Dhaka",90.3705183,23.7551752
"365","Block B, Chandrima Model Town, Mohammadpur, Dhaka",90.3587745,23.7661386
"366","Kuratoli, Kuril, Dhaka",90.4228435,23.8210737
"367","Chalabon, Dakshin Khan, Dhaka",90.4184093,23.8653445
"368","Barontek, Cantonment, Dhaka",90.3869017,23.8301048
"369","Ullan, Rampura, Dhaka",90.4189984,23.7664365
"370","Road No 17, Sector 7, Uttara, Dhaka",90.3950826,23.8699316
"371","Nurer Chala, Badda, Dhaka",90.4325517,23.7968912
"372","Road No 12, Sector 4, Uttara, Dhaka",90.4041254,23.8640161
"373","South Chalabon, Dakshin Khan, Dhaka",90.4184093,23.8653445
"374","West Kalachandpur, Kalachandpur, Dhaka",90.414634,23.8110345
"375","Comfort Housing, Adabor, Dhaka",90.3548312,23.7732898
"376","Moddhopara, Ashkona, Dakshin Khan, Dhaka",90.4184093,23.853447
"377","Sector 1, Block G, Aftab Nagar, Dhaka",90.4466991,23.7641281
"378","Gojmohal, Hazaribag, Dhaka",90.3657179,23.7355372
"379","South Bishil, Section 1, Mirpur, Dhaka",90.3520212,23.7966002
"380","Block M, South Banasree Project, Banasree, Dhaka",90.4409834,23.7548337
"381","Abur Tek, Khilkhet, Dhaka",90.4226472,23.8321541
"382","Bamoil, Sarulia, Demra, Dhaka",90.4846665,23.7160752
"383","Niketan, Dhaka",90.411929,23.7738926
"384","Meradia, Khilgaon, Dhaka",90.4321434,23.7573453
"385","Ring Road, Shyamoli, Dhaka",90.3598492,23.7716209
"386","Bochila Garden City, Bochila, Mohammadpur, Dhaka",90.3589489,23.754687
"387","Solmaid, Badda, Dhaka",90.4325517,23.8058154
"388","South Jatra Bari, Jatra Bari, Dhaka",90.4366775,23.7053986
"389","Bochila, Mohammadpur, Dhaka",90.3589489,23.754687
"390","Naddapara, Dakshin Khan, Dhaka",90.4284263,23.8541632
"391","Block A, Dhaka Uddan, Mohammadpur, Dhaka",90.3723161,23.758
"392","Moushair, Dakshin Khan, Dhaka",90.4266584,23.8519373
"393","TIC Colony, Faydabad, Dakshin Khan, Dhaka",90.4086989,23.8744071
"394","Road No 6, Block B, Bashundhara R-A, Dhaka",90.4263946,23.8141568
"395","Road No 1, Sector 6, Uttara, Dhaka",90.4017795,23.8740346
"396","Block F, Eastern Housing, Pallabi, Mirpur, Dhaka",90.3501258,23.8298204
"397","Block B, Mohanagar Housing, West Rampura, Rampura, Dhaka",90.4138364,23.7640558
"398","Tilpapara, Khilgaon, Dhaka",90.4284263,23.7470735
"399","Boro Maghbazar, Maghbazar, Dhaka",90.4109534,23.7485384
"400","West Mollartek, Dakshin Khan, Dhaka",90.4095728,23.8571886
"401","Block B, Dakkhin Paikpara, Paikpara, Mirpur, Dhaka",90.3595372,23.7881532
"402","Block E, Section 1, Mirpur, Dhaka",90.3515962,23.8026734
"403","Goaltek, Faydabad, Dakshin Khan, Dhaka",90.4083948,23.878012
"404","Block D, Lalmatia, Dhaka",90.3686566,23.7542924
"405","Block G/1, Section 2, Mirpur, Dhaka",90.3571841,23.8060072
"406","Azimpur, Lalbagh, Dhaka",90.38543,23.7285918
"407","East Manikdi, Manikdi, Cantonment, Dhaka",90.3919059,23.8260022
"408","Kunipara, Tejgaon Industrial Area, Tejgaon, Dhaka",90.4072168,23.7634929
"409","Block C, Section 6, Mirpur, Dhaka",90.3654204,23.8223486
"410","South Goran, Goran, Khilgaon, Dhaka",90.4353762,23.7456528
"411","Block J, South Banasree Project, Banasree, Dhaka",90.4409834,23.7548337
"412","Kushumbag, Kalibari, Rajarbag, Bashabo, Dhaka",90.4442726,23.7385957
"413","Sunibir Housing Society, Adabor, Dhaka",90.3548312,23.7732898
"414","Mohakhali, Dhaka",90.4057408,23.7777571
"415","Block A, Section 13, Mirpur, Dhaka",90.3783666,23.8089317
"416","Block B, Section 11, Mirpur, Dhaka",90.3689508,23.8178783
"417","Block E, Bashundhara R-A, Dhaka",90.433141,23.8110194
"418","Block C, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",90.348447,23.7464141
"419","Block F, Lalmatia, Dhaka",90.366834,23.7559649
"420","Banasree, Dhaka",90.433141,23.7619353
"421","Block C, Nobodoy Housing Society, Mohammadpur, Dhaka",90.3708022,23.7554807
"422","Katabon, New Market, Dhaka",90.3837664,23.7331937
"423","Aftab Nagar, Dhaka",90.4466991,23.7641281
"424","Avenue 5, Block C, Section 11, Mirpur, Dhaka",90.3617174,23.8103366
"425","Jhilpar, Middle Pirerbag, Pirerbag, Mirpur, Dhaka",90.3647163,23.7864872
"426","Kawlar Moddho Para, Kawlar, Dakshin Khan, Dhaka",90.4200507,23.8457796
"427","Avenue 3, Mirpur DOHS, Mirpur, Dhaka",90.3672172,23.8368809
"428","Block B, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",90.3599702,23.7536428
"429","Purana Polton Lane, Purana Paltan, Motijheel, Dhaka",90.4116775,23.7370049
"430","Block C, Section 2, Mirpur, Dhaka",90.3571841,23.8060072
"431","Block E, Arambag Residential Area, Pallabi, Mirpur, Dhaka",90.3586548,23.8175306
